dbname,db_username,qrytext,num_queries,min_minutes,max_minutes,avg_minutes,total_minutes,total_compile_minutes,total_num_compile_segments,min_disk_spill_mb,max_disk_spill_mb,avg_disk_spill_mb,total_disk_spill_mb,max_query_id,last_run,num_days_executed,total_aborted,qry_label,avg_spectrum_object_used,avg_federated_object_used,user_table_involved,alert
dw,app_airflow_dev,"unload( $$ WITH distinct_dates AS ( SELECT DISTINCT i.event_date FROM personalization.core.interactions i WHERE i.event_date between CURRENT_DATE - 395 and CURRENT_DATE ), daily_engagement AS ( SELECT event_date, item_id, COUNT( DISTINCT CASE WHEN i.event_type = 'ClientMatItemCutPassEnd' THEN i.user_id END ) AS users_with_cut, COUNT( DISTINCT CASE WHEN i.event_type = 'ImageBookmarked' THEN i.user_id END ) AS users_with_bookmark, COUNT( DISTINCT CASE WHEN i.event_type = 'ImageInserted' THEN i.use",5,31.26666,66.75000,42.88666,214.43331,0.00000,0,2343127,2522856,2430250,12151254,702946376,2025-03-06,5,0,default,0,0,,NL
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""projects_cut_per_engaged_user\""') TO 's3://gold-data-domo/dw/analytics/projects_cut_per_engaged_user/projects_cut_per_engaged_user_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,73.16666,73.16666,73.16666,73.16666,0.58500,7,2371769,2371769,2371769,2371769,701883679,2025-03-04,1,0,default,0,0,"machine, user_subscription_daily",
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""page_views_dau_wau_mau\""') TO 's3://gold-data-domo/dw/analytics/page_views_dau_wau_mau/page_views_dau_wau_mau_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,42.35000,42.35000,42.35000,42.35000,0.38033,13,2342700,2342700,2342700,2342700,702640941,2025-03-05,1,1,default,0,0,"country, user_profile, daily_active_users, user_ds_product_attributes, user_subscription_daily, weekly_active_users, monthly_active_users",
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ INSERT INTO \""fact\"".\""udm_project_cuts\"" (\""user_id\"", \""evaluation_date\"", \""user_made_cut_last_90\"", \""user_made_cut_last_365\"", \""user_made_cut_wtd\"", \""user_made_cut_mtd\"", \""user_made_cut_qtd\"", \""dw_laod_date\"") SELECT \""source\"".\""user_id\"", \""source\"".\""evaluation_date\"", \""source\"".\""user_made_cut_last_90\"", \""source\"".\""user_made_cut_last_365\"", \""source\"".\""user_made_cut_wtd\"", \""source\"".\""user_made_cut_mtd\"", \""source\"".\""user_made_cut_qtd\"", ",7,35.95000,65.53333,44.89999,314.29998,0.00000,0,2148283,2513686,2334645,16342519,702939919,2025-03-06,7,0,default,0,0,"udm_project_cuts, date",
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UPDATE \""fact\"".\""udm_project_cuts\"" SET \""user_made_cut_last_90\"" = \""source\"".\""user_made_cut_last_90\"", \""user_made_cut_last_365\"" = \""source\"".\""user_made_cut_last_365\"", \""user_made_cut_wtd\"" = \""source\"".\""user_made_cut_wtd\"", \""user_made_cut_mtd\"" = \""source\"".\""user_made_cut_mtd\"", \""user_made_cut_qtd\"" = \""source\"".\""user_made_cut_qtd\"", \""dw_laod_date\"" = \""source\"".\""dw_laod_date\"" FROM (SELECT \""user_id\"" AS \""user_id\"", \""evaluation_date\"" AS \",5,27.96666,44.68333,36.86333,184.31665,0.00000,0,1935710,2193830,2114727,10573637,702188506,2025-03-05,5,0,default,0,0,"date, udm_project_cuts",
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UPDATE \""fact\"".\""udm_project_cuts\"" SET \""user_made_cut_last_90\"" = \""source\"".\""user_made_cut_last_90\"", \""user_made_cut_last_365\"" = \""source\"".\""user_made_cut_last_365\"", \""user_made_cut_wtd\"" = \""source\"".\""user_made_cut_wtd\"", \""user_made_cut_mtd\"" = \""source\"".\""user_made_cut_mtd\"", \""user_made_cut_qtd\"" = \""source\"".\""user_made_cut_qtd\"", \""dw_laod_date\"" = \""source\"".\""dw_laod_date\"" FROM (SELECT \""user_id\"" AS \""user_id\"", \""evaluation_date\"" AS \",2,30.95000,46.06666,38.50833,77.01666,0.00000,0,2050798,2140316,2095557,4191114,702914022,2025-03-06,2,0,default,0,0,"udm_project_cuts, date",
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ create table fact.udm_registrations_tmp distkey (user_id) sortkey(evaluation_date) as select ud.user_id , ud.evaluation_date , first_value(first_machine_registration_date) ignore nulls over (partition by ud.user_id order by ud.evaluation_date asc ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW ) first_machine_registration_date , first_value(first_machine_serial_number) ignore nulls over (partition by ud.user_id order by ud.evaluation_date asc ROWS BETWEEN ",11,0.06666,143.60000,84.70908,931.79996,0.00000,0,0,5838267,2075996,22835957,703199957,2025-03-06,7,4,default,0,0,,
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""project_user_daily_metrics_view\""') TO 's3://gold-data-domo/dw/analytics/project_user_daily_metrics_view/project_user_daily_metrics_view_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",4,12.98333,16.90000,14.82499,59.29999,0.00000,0,1904142,1918678,1912274,7649096,703099586,2025-03-06,4,0,default,0,0,"active_users_split_counts_cube_daily, user_subscription_daily, project_user_daily_metrics, user_ds_product_attributes",
dw,app_matillion_unload,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""pillar0_mth_frq_exact_almost_es_dashboard_vw\""') TO 's3://gold-data-domo/dw/analytics/pillar0_mth_frq_exact_almost_es_dashboard_vw/pillar0_mth_frq_exact_almost_es_dashboard_vw_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",2,24.73333,32.15000,28.44166,56.88333,0.00016,0,1792928,1854761,1823844,3647689,702630825,2025-03-05,2,0,default,0,0,"user_subscription_daily, user_profile, user_ds_product_attributes, daily_active_users",
dw,app_matillion,"/*MTLN-1.74.3 (build e3e1149-286619)*/ UNLOAD ('SELECT * FROM \""analytics\"".\""image_user_daily_metrics_view\""') TO 's3://gold-data-domo/dw/analytics/image_user_daily_metrics_view/image_user_daily_metrics_view_' ACCESS_KEY_ID '' SECRET_ACCESS_KEY '' SESSION_TOKEN '' ALLOWOVERWRITE FORMAT AS CSV HEADER GZIP",1,13.56666,13.56666,13.56666,13.56666,0.00000,0,1705625,1705625,1705625,1705625,702396788,2025-03-05,1,0,default,0,0,"user_ds_product_attributes, active_users_split_counts_cube_daily, user_subscription_daily, image_user_daily_metrics",
