share_type,share_name,include_new,producer_account,object_type,namespace,object_name,table_rows,last_vacuum_date,is_last_vacuum_recluster,num_insert_operation,total_inserted_rows,last_insert_date,num_delete_operation,total_deleted_rows,last_delete_date,is_mv_stale,is_mv_incremental_refresh,is_mv_auto_refresh
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,message_delivery_state,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,au_user_product_registration,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,image_set_group_royalty,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,au_emailchangelog,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,machine_activity,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,sys_currencies,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,order_detail_shipping,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,firehose_v2_2024,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,tags,filter_type,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,tags,filter,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,glyph_attribute,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,sf_cricut,esf_order_detail,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,pyrope_a_msk_cluster,int_subscription_v1_status,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,designer_metrics,images_ignore,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,events,firehose_v2_2023,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,product,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,sf_cricut,esf_countrieslookup,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,workflow_status_log,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,subscription_image,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,bundled_entitlement,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,mail_client_code,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,designer_metrics,image_cuts,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,user,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,community,neo4j_project_aggregate,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut_internal,sales_forecast,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,designer_metrics,report_details,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,entitlement_cartridge_sets,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,control,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,glyph,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,selligent,user_config,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,table,cricut,user_subscription_activity,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,image_set_image,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,events,firehose_v2,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,canvas,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,entitlement_method,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,user_subscription_cleaned,,,,,,,,,,,,
OUTBOUND,cricut_gold_data_lake,,680314452999,view,cricut,image_set,,,,,,,,,,,,
