dbname,namespace,table_name,encoded,diststyle,sortkey1,max_varchar,sortkey1_enc,sortkey_num,unsorted,stats_off,tbl_rows,skew_rows,estimated_visible_rows,num_rows_marked_for_deletion,pct_rows_marked_for_deletion,vacuum_sort_benefit,vacuum_run_type,is_last_vacuum_recluster,last_vacuumed_date,days_since_last_vacuumed,query_count,table_recommendation_count,encoded_column_count,column_count,encoded_column_pct,encoded_sortkey_count,distkey_column_count,large_column_size_count,sort_key_alert_sample_query,sort_key_alert_query_count,stats_alert_sample_query,stats_alert_query_count,nl_alert_sample_query,nl_alert_query_count,distributed_alert_sample_query,distributed_alert_query_count,distributed_alert_sample_query,broadcasted_alert_query_count,deleted_alert_sample_query,deleted_alert_query_count
dw,analytics,image_conversion_fact,Y,KEY(user_id),event_date_id,65535,none,3,6.62,20.85,2567843859,1.01,2484327168,83516691,0.0325,0.00,Automatic,N,2025-03-05,1,229,0,81,87,93.1034,0,1,8,703293673,23,,0,,0,,0,,0,,0
dw,analytics,image_conversion_fact,Y,KEY(user_id),event_date_id,65535,none,3,6.62,20.85,2567843859,1.01,2484327168,83516691,0.0325,0.00,Manual,N,2025-02-28,6,229,0,81,87,93.1034,0,1,8,703293673,23,,0,,0,,0,,0,,0
dw,analytics,project_conversion_fact_may29_tbd,Y,KEY(user_id),event_date_id,12297,none,3,0.00,0.00,2432356256,1.01,2432355840,416,0.0000,0.00,Manual,Y,2025-02-28,6,134,0,55,62,88.7096,1,1,7,,0,,0,,0,,0,,0,,0
dw,analytics,weekly_active_users,Y,KEY(user_id),rolling_end_date,25,none,2,7.80,18.91,2173481532,1.00,2117407232,56074300,0.0257,5.00,,,,,166,0,3,5,60.0000,0,1,0,703220920,4,,0,,0,702640941,6,,0,,0
dw,fact,user_event_metrics_raw,"Y, AUTO(ENCODE)",KEY(user_id),event_name,255,none,3,0.00,0.00,1885428028,1.00,1885427968,60,0.0000,0.00,,,,,1,0,7,8,87.5000,2,1,0,,0,,0,,0,,0,,0,,0
dw,public,onboarding_jv_test_sessions_2020_2025_01_created_date,"Y, AUTO(ENCODE)",KEY(user_id),session_id,255,none,2,99.99,100.00,1856393740,1.01,1853750784,2642956,0.0014,30.00,,,,,1,0,6,8,75.0000,0,1,0,,0,,0,,0,,0,,0,,0
dw,public,onboarding_jv_test_sessions_2020_2025_01_created_date_bkp,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),AUTO(SORTKEY),255,,0,,0.00,1854541507,1.01,1853750784,790723,0.0004,,,,,,1,0,8,8,100.0000,0,1,0,,0,,0,,0,,0,,0,,0
dw,stage,tbl_temp_qtd_user_cuts,"Y, AUTO(ENCODE)",AUTO(KEY(user_id)),evaluation_date_id,200,none,1,0.00,0.00,1537373573,1.00,1537373568,5,0.0000,0.00,,,,,7,0,13,19,68.4210,0,1,0,,0,,0,,0,,0,,0,,0
dw,dim,image,"Y, AUTO(ENCODE)",AUTO(KEY(image_id)),image_source_classification,65535,none,4,18.17,100.00,1465384032,1.00,1464358912,1025120,0.0006,17.00,Automatic,N,2025-03-06,0,438,0,42,55,76.3636,1,1,4,703390312,167,,0,,0,702205543,11,699044998,1,,0
dw,cricut_dw,mblack,Y,KEY(user_id),event_timestamp,500,zstd,5,4.44,0.00,1462213525,1.02,1426392960,35820565,0.0244,0.00,Automatic,N,2025-03-01,5,135,0,31,31,100.0000,5,1,0,,0,,0,,0,699898769,1,,0,,0
