dbname,table_name,alert_seconds,alert_rowcount,alert_event,alert_solution,alert_sample_query,alert_querycount
prd_statsig,unit_day_covariate_metrics_search_remove_phrases_and_editable_images_3fnzxruypuhg23n1opirgw,377.31629600,62294792,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1734689,10
prd_statsig,windowed_metrics_content_panel_recommendations_incremental,368.35619900,64008106,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1521058,1
prd_statsig,distinct_metrics_content_panel_recommendations,368.35619900,64008106,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1521058,1
prd_statsig,windowed_metrics_ia_single_cta_pdp_7,368.13428100,56594778,Very selective query filter,"Review the choice of sort key to enable range restricted scans, or run the VACUUM command to ensure the table is sorted",1872196,36
prd_dw,firehose_v3_enriched_sampled_fast,365.19332900,328245080,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1875018,4
prd_statsig,unit_day_covariate_metrics_q1_2025_global_holdout_5427iyljdiikpvnukghnm7_1__00_1,364.81410800,33448178,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1743159,1
prd_statsig,t_rslocal_localhost@1501294@716097@,360.95616500,266242220,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1880683,6
prd_statsig,unit_day_covariate_metrics_image_background_removal_model,360.90092800,108636562,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1832603,8
prd_statsig,unit_covariate_metrics_projects_search_hybrid_semantic,360.78955000,96610669,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1862074,15
,t_rslocal_680314452999:7c2a9dd0-f35d-4266-ab4e-b1a84ab4b520@6849701@80823173@,359.83751000,19627043,Distributed a large number of rows across the network,Review the choice of distribution key to collocate the join or aggregation,1600613,1
